id_produksi;tanggal;nama_produk;kategori_produk;rating;jumlah_produksi;produk_sempurna;jumlah_cacat;waktu_produksi;penjualan;cabang;Tahun
293;20/10/2019;Molto;3;5;517;507;10;6;Terjual;5;2
294;21/10/2019;Rinso;3;4;743;715;28;7;Terjual;3;1
295;22/10/2019;Sunlight;3;3;792;768;24;5;Terjual;4;1
296;23/10/2019;Super Pell;3;2;438;420;18;7;Tidak Terjual;2;3
297;24/10/2019;Vixall;3;4;470;461;9;8;Terjual;3;6
298;25/10/2019;Wipol;3;3;603;586;17;6;Terjual;4;2
299;26/10/2019;Bango;4;3;635;621;14;5;Terjual;4;3
300;27/10/2019;Buavita;4;2;722;715;7;6;Terjual;4;2
301;28/10/2019;Hellmann's;4;2;743;732;11;7;Terjual;4;3
302;29/10/2019;Jawara;4;5;400;371;29;5;Terjual;5;6
303;30/10/2019;Knorr;4;4;416;399;17;6;Terjual;2;4
304;31/10/2019;Lipton;4;4;560;545;15;8;Terjual;2;2
305;01/11/2019;Royco;4;4;781;758;23;5;Terjual;1;3
306;02/11/2019;SariWangi;4;2;445;421;24;6;Terjual;5;6
307;03/11/2019;TheVegetarianButcher;4;4;572;543;29;6;Tidak Terjual;2;3
308;04/11/2019;Cornetto;5;5;672;659;13;7;Terjual;1;5
309;05/11/2019;Feast;5;4;630;612;18;6;Terjual;2;2
310;06/11/2019;Magnum;5;5;549;529;20;7;Terjual;3;6
311;07/11/2019;Paddle Pop;5;2;673;651;22;8;Terjual;2;5
312;08/11/2019;Populaire;5;2;417;390;27;6;Terjual;5;1
313;09/11/2019;Seru;5;4;501;500;1;5;Terjual;1;3
314;10/11/2019;Viennetta;5;5;750;734;16;6;Terjual;2;5
315;11/11/2019;Wall's;5;2;755;739;16;7;Terjual;5;6
316;12/11/2019;Citra;1;5;671;646;25;7;Terjual;5;3
317;13/11/2019;Clear;1;4;776;748;28;8;Terjual;4;6
318;14/11/2019;Clean Men;1;2;657;644;13;7;Terjual;4;3
319;15/11/2019;Simple;1;5;718;714;4;8;Terjual;2;3
320;16/11/2019;Zwitsal;1;4;562;533;29;8;Tidak Terjual;3;3
321;17/11/2019;Glow & Lovely;1;3;750;749;1;8;Terjual;2;5
322;18/11/2019;Love Beauty & Planet;1;2;718;694;24;5;Terjual;3;6
323;19/11/2019;Pepsodent;1;5;757;754;3;8;Terjual;5;3
324;20/11/2019;Pond's;1;5;633;613;20;5;Terjual;4;6
325;21/11/2019;Pond's Men;1;4;407;382;25;6;Terjual;2;3
326;22/11/2019;Sunsilk;1;3;618;609;9;6;Terjual;3;5
327;23/11/2019;TRESemme;1;4;684;667;17;5;Terjual;4;2
328;24/11/2019;Unilever Professional;1;3;508;494;14;6;Terjual;5;1
329;25/11/2019;Vaseline Men;1;2;625;609;16;8;Terjual;3;3
330;26/11/2019;St. Ives;2;5;421;394;27;8;Terjual;1;1
331;27/11/2019;AXE;2;4;423;399;24;7;Terjual;1;6
332;28/11/2019;Close Up;2;3;447;435;12;8;Terjual;4;5
333;29/11/2019;Dove;2;4;612;598;14;7;Terjual;2;1
334;30/11/2019;LUX;2;5;457;447;10;6;Terjual;4;6
335;01/12/2019;Rexona;2;2;534;509;25;5;Terjual;1;6
336;02/12/2019;Lifebuoy;2;4;757;745;12;5;Terjual;1;5
337;03/12/2019;Cif;3;4;578;558;20;5;Terjual;1;5
338;04/12/2019;Molto;3;5;691;671;20;8;Terjual;4;5
339;05/12/2019;Rinso;3;4;661;631;30;8;Terjual;1;1
340;06/12/2019;Sunlight;3;5;605;583;22;7;Terjual;2;3
341;07/12/2019;Super Pell;3;4;724;718;6;6;Terjual;1;6
342;08/12/2019;Vixall;3;2;757;729;28;5;Terjual;3;2
343;09/12/2019;Wipol;3;5;691;669;22;6;Terjual;5;5
344;10/12/2019;Bango;4;3;583;560;23;8;Terjual;1;1
345;11/12/2019;Buavita;4;5;796;766;30;8;Terjual;2;3
346;12/12/2019;Hellmann's;4;2;581;559;22;6;Terjual;4;4
347;13/12/2019;Jawara;4;5;628;621;7;6;Terjual;1;2
348;14/12/2019;Knorr;4;2;622;618;4;6;Terjual;2;6
349;15/12/2019;Lipton;4;4;605;586;19;6;Terjual;4;6
350;16/12/2019;Royco;4;3;481;463;18;8;Terjual;3;4
351;17/12/2019;SariWangi;4;4;515;506;9;6;Terjual;1;6
352;18/12/2019;TheVegetarianButcher;4;2;515;511;4;5;Terjual;2;2
353;19/12/2019;Cornetto;5;3;569;545;24;6;Terjual;4;6
354;20/12/2019;Feast;5;2;546;526;20;6;Terjual;2;4
355;21/12/2019;Magnum;5;2;516;511;5;6;Terjual;4;5
356;22/12/2019;Paddle Pop;5;2;455;430;25;5;Terjual;1;3
357;23/12/2019;Populaire;5;4;450;430;20;8;Terjual;1;6
358;24/12/2019;Seru;5;5;565;550;15;6;Terjual;2;6
359;25/12/2019;Viennetta;5;2;407;394;13;6;Terjual;5;1
360;26/12/2019;Wall's;5;4;418;389;29;7;Terjual;3;1
361;27/12/2019;Citra;1;3;409;400;9;7;Terjual;1;1
362;28/12/2019;Clear;1;2;713;705;8;5;Terjual;1;2
363;29/12/2019;Clean Men;1;5;442;425;17;6;Terjual;2;3
364;30/12/2019;Simple;1;4;692;675;17;7;Tidak Terjual;2;4
365;31/12/2019;Zwitsal;1;5;631;601;30;5;Terjual;2;1
366;01/01/2020;Glow & Lovely;1;5;509;487;22;5;Terjual;1;4
367;02/01/2020;Love Beauty & Planet;1;4;700;686;14;6;Terjual;2;1
368;03/01/2020;Pepsodent;1;4;401;374;27;5;Terjual;2;1
369;04/01/2020;Pond's;1;3;660;635;25;5;Terjual;4;1
370;05/01/2020;Pond's Men;1;5;481;478;3;5;Terjual;3;3
371;06/01/2020;Sunsilk;1;4;580;558;22;8;Terjual;2;6
372;07/01/2020;TRESemme;1;3;560;545;15;5;Terjual;2;4
373;08/01/2020;Unilever Professional;1;2;795;779;16;6;Terjual;3;2
374;09/01/2020;Vaseline Men;1;4;494;476;18;7;Terjual;2;3
375;10/01/2020;St. Ives;2;4;436;409;27;8;Terjual;1;4
376;11/01/2020;AXE;2;2;584;555;29;7;Terjual;1;2
377;12/01/2020;Close Up;2;5;687;675;12;5;Terjual;1;6
378;13/01/2020;Dove;2;5;712;710;2;7;Terjual;3;6
379;14/01/2020;LUX;2;2;604;587;17;5;Terjual;3;4
380;15/01/2020;Rexona;2;5;576;552;24;5;Terjual;4;4
381;16/01/2020;Lifebuoy;2;2;723;703;20;6;Terjual;5;1
382;17/01/2020;Cif;3;3;639;636;3;6;Terjual;3;6
383;18/01/2020;Molto;3;4;793;770;23;5;Terjual;4;3
384;19/01/2020;Rinso;3;5;570;551;19;8;Terjual;1;3
385;20/01/2020;Sunlight;3;2;691;676;15;5;Terjual;2;4
